Control ID,OWASP Category,NIST AI RMF Function,EU AI Act Article,Control Name,wg-bastion Module,Implementation,Test ID,Status
C044,-,MAP,-,Security Policy Configuration,config::policy,SecurityPolicy + PolicyBuilder,T-CFG-001,In Progress
C045,-,GOVERN,-,Fail Mode Strategy,config::policy,FailMode enum (closed/open/log),T-CFG-002,In Progress
C046,-,GOVERN,-,Environment Variable Override,config::policy,PolicyBuilder::with_env(),T-CFG-003,In Progress
C047,-,MAP,-,Multi-Stage Security Pipeline,pipeline::core,SecurityPipeline framework,T-PIP-001,In Progress
C048,-,MEASURE,-,Pipeline Stage Metadata,pipeline::core,SecurityContext metadata,T-PIP-002,In Progress
C049,-,MEASURE,Art 12,Security Event Schema,telemetry::events,SecurityEvent structured types,T-TEL-002,Planned
C050,-,MEASURE,Art 12,OTLP Metrics Export,telemetry::exporter,OTLPExporter configuration,T-TEL-003,Planned
C051,-,MANAGE,-,Incident Orchestrator,telemetry::incident,IncidentOrchestrator triggers,T-INC-002,Planned
C052,-,MEASURE,Art 12,Audit Log Encryption,telemetry::audit,JSONL with at-rest encryption,T-AUD-003,Planned
C053,-,MEASURE,Art 12,Audit Log Retention Policy,telemetry::audit,Configurable retention periods,T-AUD-004,Planned
C054,-,MAP,-,Content Moderation (External API),input::moderation,ModerationClient for remote APIs,T-MOD-001,Planned
C055,-,MAP,-,Content Moderation (Local ONNX),input::moderation,ONNXModerator local inference,T-MOD-002,Planned
C056,-,MAP,-,Input Normalization,input::normalization,InputNormalizer encoding/whitespace,T-NRM-001,Planned
C057,-,GOVERN,-,Session Management,session::manager,SessionManager context isolation,T-SES-001,Planned
C058,-,MEASURE,-,Corpus Scanner CLI,rag::scanner,Cargo xtask security scan-corpus,T-RAG-007,Planned
C059,-,MEASURE,-,Adversarial Corpus Management,testing::corpus,AdversarialCorpus loader,T-TST-001,Planned
C060,-,MEASURE,-,Attack Harness,testing::harness,AttackHarness automated testing,T-TST-002,Planned
C061,-,MEASURE,-,Regression Test Suites,tests::regression,Comprehensive regression tests,T-TST-003,Planned
C062,-,GOVERN,Art 15,Threat Model Documentation,docs/threat_model.md,Attack trees + playbooks,WS1-01,In Progress
C063,-,GOVERN,-,Control Matrix (This File),docs/control_matrix.csv,Requirements → Implementation map,WS1-02,In Progress
C064,-,GOVERN,-,Architecture Documentation,docs/architecture.md,Module design + integration,WS1-03,Planned
C065,-,GOVERN,-,Integration Guide,docs/integration_guide.md,Adoption walkthrough,WS13-01,Planned
C066,-,GOVERN,-,FAQ & Troubleshooting,docs/faq.md,Self-service support,WS13-04,Planned
C067,-,GOVERN,-,Security Review Checklist,CONTRIBUTING.md,PR template security items,WS1-03,Planned
C068,-,GOVERN,-,Vulnerability Disclosure Policy,SECURITY.md,Responsible disclosure process,WS1-03,Planned
C069,-,MEASURE,-,Performance Benchmarks,benches/,Latency targets (<50ms P95),WS2-05,Planned
C070,-,MEASURE,-,Feature Flag Management,Cargo.toml,Optional dependencies (ML/Redis),WS2-04,In Progress
